R1_USB,23.28,56.42,180.00,5K1,CPF0201D7K68C1_0201
R2,8.96,60.39,90.00,0,CPF0201D7K68C1_0201
R2_EP_DR,14.43,51.96,90.00,10k,ERA-1AEB3401C_0201
R2_USB,20.26,56.41,0.00,5K1,ERA-1AEB3401C_0201
R3,3.74,56.96,0.00,0,CPF0201D7K68C1_0201
R4,8.94,60.96,90.00,0,CPF0201D7K68C1_0201
R7,31.14,32.69,270.00,10k,CPF0201D7K68C1_0201
R8,20.08,32.71,270.00,10k,CPF0201D7K68C1_0201
R9,32.30,60.07,0.00,10k,CPF0201D7K68C1_0201
R_PWR_EPD,22.06,36.92,180.00,10k,CPF0201D7K68C1_0201
R_TYPE_SEL,13.98,50.13,90.00,2.2,ERA-1AEB3401C_0201
SJ1,13.43,49.02,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,33.66,32.36,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,22.62,32.35,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,11.70,32.35,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,43.92,33.58,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,43.19,57.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,15.63,45.07,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,37.05,33.59,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,26.46,30.03,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,29.96,30.03,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,32.41,39.53,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,28.29,36.91,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,24.42,36.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,38.59,30.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,41.10,32.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,32.39,42.19,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,17.76,42.44,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,3.81,61.63,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,31.44,49.14,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,21.93,43.80,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,41.02,52.71,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,23.51,52.24,90.90,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
